Timestamp,Camera id,people Count,Density,Device Status,Crowd Status,Track,FPS
2025-06-09 16-24-08,Camera 0,2,0.02,OFF,High (0.27),"1,2",181.32
2025-06-09 16-24-09,Camera 0,2,0.02,OFF,High (0.27),"1,2",200.7
2025-06-09 16-24-09,Camera 0,2,0.02,OFF,High (0.27),"1,2",222.67
2025-06-09 16-24-09,Camera 0,2,0.02,OFF,High (0.27),"1,2",206.22
2025-06-09 16-24-09,Camera 0,2,0.02,OFF,High (0.27),"1,2",184.85
2025-06-09 16-24-10,Camera 0,2,0.02,OFF,High (0.27),"1,2",206.36
2025-06-09 16-24-10,Camera 0,2,0.02,OFF,High (0.27),"1,2",201.79
2025-06-09 16-24-10,Camera 0,2,0.02,OFF,High (0.27),"1,2",202.09
2025-06-09 16-24-10,Camera 0,2,0.02,OFF,High (0.27),"1,2",181.01
2025-06-09 16-24-11,Camera 0,2,0.02,OFF,High (0.27),"1,2",212.84
2025-06-09 16-24-11,Camera 0,2,0.02,OFF,High (0.27),"1,2",202.34
2025-06-09 16-24-11,Camera 0,2,0.02,OFF,High (0.27),"1,2",209.06
2025-06-09 16-24-11,Camera 0,2,0.02,OFF,High (0.27),"1,2",195.31
2025-06-09 16-24-12,Camera 0,2,0.02,OFF,High (0.27),"1,2",174.35
2025-06-09 16-24-12,Camera 0,2,0.02,OFF,High (0.27),"1,2",173.13
2025-06-09 16-24-12,Camera 0,2,0.02,OFF,High (0.27),"1,2",181.13
2025-06-09 16-24-12,Camera 0,2,0.02,OFF,High (0.27),"1,2",201.79
2025-06-09 16-24-13,Camera 0,2,0.02,OFF,High (0.27),"1,2",180.86
2025-06-09 16-24-13,Camera 0,2,0.02,OFF,High (0.27),"1,2",185.69
2025-06-09 16-24-13,Camera 0,2,0.02,OFF,High (0.27),"1,2",186.62
2025-06-09 16-24-13,Camera 0,2,0.02,OFF,High (0.27),"1,2",219.42
2025-06-09 16-24-13,Camera 0,2,0.02,OFF,High (0.27),"1,2",188.49
2025-06-09 16-24-14,Camera 0,2,0.02,OFF,High (0.27),"1,2",206.05
2025-06-09 16-24-14,Camera 0,2,0.02,OFF,High (0.27),"1,2",181.7
